featureID	sC0C	s1C3A	s1C3B	s1C5A	s1C5B	s1C7A	s1C7B	s1C10A	s1C10B	s1C20A	s1C20B	s2C3A	s2C3B	s2C5A	s2C5B	s2C10A	s2C10B	s1M3A	s1M3B	s1M3C	s1M5C	s1M5A	s1M5B	s1M7A	s1M7B	s1M7C	s1M10A	s1M10B	s1M10C	s2M3A	s2M3B	s2M3C	s2M5A	s2M5B	s2M7A	s2M7B	s2M10B	s2M10A	s2M10C	s3M3A	s3M3B	s3M3C	s3M5A	s3M5B	s3M5C	s3M7A	s3M7B	s3M7C	s3M10A	s3M10B	s3M10C	s1G3A	s1G3B	s1G3C	s1G5A	s1G5B	s1G5C	s1G7A	s1G7B	s1G7C	s1G10A	s1G10B	s1G10C	s2G3A	s2G3B	s2G3C	s2G5A	s2G5B	s2G5C	s2G7A	s2G7B	s2G7C	s2G10A	s2G10B	s2G10C	s3G3A	s3G3B	s3G3C	s3G5A	s3G5B	s3G5C	s3G7A	s3G7B	s3G7C	s3G10A	s3G10B
OTU_41	20	19	34	40	51	56	82	26	24	11	20	79	51	33	139	41	34	7	6	3	6	5	13	2	1	11	8	9	9	30	51	26	36	55	51	161	54	80	120	24	26	7	55	158	32	55	44	136	47	27	37	20	12	24	33	34	46	16	19	14	7	11	23	39	41	78	75	83	110	107	155	157	27	29	21	29	30	20	22	56	94	73	90	85	55	29
OTU_42	2	7	2	0	5	3	1	0	2	1	0	2	1	1	2	7	31	3	2	0	1	1	1	0	2	0	0	0	1	8	21	13	14	17	15	5	6	101	18	0	1	1	4	8	2	2	7	5	2	1	3	34	8	11	18	10	7	16	1	11	4	3	12	9	9	5	7	4	4	6	9	8	6	3	3	1	1	2	1	9	11	11	7	13	13	4
OTU_43	155	54	51	16	33	12	6	5	2	1	3	5	4	0	0	0	0	36	32	18	6	6	3	0	0	0	7	8	7	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	28	31	8	3	4	2	4	1	5	2	8	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_44	8	2	2	4	6	6	2	12	10	24	14	2	3	4	5	7	11	2	4	1	1	2	1	0	0	1	5	4	10	2	0	1	3	2	11	1	6	46	12	0	1	4	4	8	1	8	12	7	21	4	13	7	1	5	4	1	5	7	7	5	2	6	28	8	0	6	5	4	8	5	18	8	30	18	21	1	1	2	5	14	12	31	17	19	61	19
OTU_45	1	0	1	0	1	0	0	4	4	5	5	3	3	1	9	19	19	0	0	0	0	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	1	6	4	1	0	0	8	16	7	8	31	18	10	16	18	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	4	3	1	11	18	11	40	25	22	1	1	1	9	7	31	51	20	22	56	37
OTU_46	27	3	4	2	5	9	8	27	32	7	2	6	4	1	5	0	0	11	7	13	3	3	1	2	1	1	11	17	23	1	1	0	1	1	1	2	6	20	7	0	0	0	0	4	0	2	3	12	16	5	9	19	11	3	0	0	1	6	1	3	12	9	21	3	1	2	5	1	2	4	7	2	6	2	3	2	1	0	1	7	21	12	16	15	13	23
OTU_47	6	0	1	1	2	9	5	14	13	13	33	9	5	10	21	29	57	1	1	2	1	2	0	0	0	0	1	2	3	0	1	3	7	3	9	7	38	33	3	0	0	0	13	48	4	20	17	29	36	33	21	4	0	2	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	2	2	7	10	8	17	0	1	0	3	32	76	19	43	33	38	34
OTU_48	2	0	0	0	0	4	6	5	4	3	12	9	11	4	20	17	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	3	15	8	8	18	27	2	2	2	0	0	1	1	0	0	1	1	0	0	0	1	0	1	1	5	6	5	29	28	23	24	15	12	7	2	1	9	16	39	49	22	32	4	1
OTU_49	3	1	3	3	4	13	11	23	25	23	36	16	14	12	29	58	114	1	0	3	0	1	0	0	0	0	2	0	1	0	1	0	0	1	2	7	18	5	5	1	1	0	10	33	17	21	34	36	32	41	43	1	1	2	1	0	1	1	1	2	0	0	1	0	0	1	5	6	4	18	14	24	51	29	36	2	0	3	20	72	126	70	72	88	100	72
OTU_50	0	0	0	4	4	6	7	3	1	0	2	18	8	3	25	6	2	2	2	0	1	1	1	0	0	3	1	1	0	2	3	3	2	2	9	20	6	1	1	5	7	3	6	28	6	11	4	21	11	2	0	2	0	3	6	9	6	1	6	3	2	1	5	3	2	2	12	15	15	18	23	24	3	3	5	1	4	5	4	8	10	7	12	13	0	1
OTU_51	20	4	14	6	61	11	11	25	17	27	21	33	25	6	85	48	34	12	7	3	22	17	12	3	11	24	38	129	103	8	29	17	14	22	31	27	23	79	56	21	7	8	217	175	67	147	187	224	162	77	115	6	6	10	5	10	11	6	11	10	3	10	16	7	18	21	21	26	16	38	48	64	109	141	75	20	18	21	26	34	88	70	63	63	73	51
OTU_52	3	10	9	13	8	23	23	2	4	5	0	39	43	4	16	0	1	52	59	42	65	90	90	27	22	61	56	59	68	54	25	34	32	12	15	11	30	1	0	1	25	35	7	1	7	2	1	4	8	12	22	23	9	30	8	11	15	16	4	1	5	9	15	18	13	18	43	20	26	1	4	2	2	1	0	29	23	52	0	8	4	3	2	3	15	20
OTU_53	3	3	7	2	8	0	1	0	0	1	1	0	2	0	1	6	29	0	0	0	0	0	1	0	0	0	1	0	1	2	16	7	8	8	8	6	1	67	10	2	2	1	5	0	1	1	4	0	3	1	0	15	1	4	7	0	2	1	1	1	1	2	7	10	6	5	3	0	2	7	2	2	4	3	4	2	0	1	1	5	2	10	4	3	7	1
OTU_54	0	0	0	20	14	34	45	7	9	0	0	27	27	5	28	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	3	0	1	2	23	12	0	0	1	2	1	5	13	10	8	2	17	8	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	6	11	42	10	5	19	8	0	0	0	1	2	4	0	3	2	0	1	6	0	1
OTU_56	0	0	0	0	0	1	0	3	1	4	6	2	3	0	6	15	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	1	0	1	0	4	13	3	8	24	15	11	9	19	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	5	5	9	30	24	22	1	1	1	6	2	24	38	10	15	55	21
OTU_57	7	2	5	0	2	6	1	13	10	15	6	3	2	3	1	2	5	0	0	2	1	0	0	0	0	0	8	4	4	0	1	0	1	1	6	3	3	38	6	0	1	0	0	6	0	2	4	6	19	2	5	3	2	0	1	0	0	1	1	2	2	2	13	0	1	2	2	2	1	7	9	2	23	8	7	0	0	0	3	14	19	13	14	11	22	9
OTU_58	2	3	4	4	2	1	7	6	1	2	4	4	0	3	5	3	4	0	1	0	0	0	0	1	0	0	3	0	0	0	2	4	1	3	7	6	1	23	25	0	0	3	6	4	2	5	6	11	16	6	9	1	0	1	0	4	0	2	1	0	1	3	3	3	2	7	1	2	3	5	2	4	5	3	2	3	0	0	1	10	24	8	13	11	21	14
OTU_59	1	0	0	1	3	0	1	2	0	2	3	7	4	1	13	3	2	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	1	7	1	0	0	0	0	0	24	25	17	21	31	31	8	2	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	9	0	6	9	12	17	17	8	4	0	2	4	3	11	8	1	5	2	0
OTU_60	1	1	0	0	2	3	3	3	0	3	3	5	4	1	21	5	6	0	0	0	0	0	2	0	0	1	1	0	3	1	1	10	10	10	13	19	14	0	0	2	2	5	12	44	10	21	9	18	6	1	4	9	4	4	7	6	7	4	4	8	2	4	5	2	3	5	16	9	18	29	39	28	12	12	8	9	5	2	5	15	17	18	8	17	4	3
OTU_61	2	1	0	1	2	0	1	1	0	2	1	9	3	2	6	2	1	1	3	0	3	2	8	0	0	1	1	7	5	6	13	8	3	6	2	4	1	5	4	1	3	2	5	5	1	2	2	2	3	3	1	13	7	21	31	34	36	15	18	21	2	2	11	7	11	12	3	0	4	1	6	5	3	0	3	2	1	0	4	4	3	8	5	3	7	9
OTU_62	1	0	0	0	6	0	0	4	4	2	1	2	1	0	7	7	5	1	1	0	0	0	0	0	0	1	2	2	5	0	2	0	1	0	0	2	5	7	2	0	0	0	20	24	2	7	15	14	27	6	15	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	14	2	8	0	0	0	0	1	11	9	9	3	10	11
OTU_63	39	28	51	41	61	34	44	30	22	22	30	25	22	9	28	19	31	6	12	4	5	2	8	5	2	6	19	15	17	42	42	27	30	24	32	54	27	94	106	10	15	13	17	22	14	25	18	29	15	12	26	20	8	21	7	16	7	8	12	6	9	4	11	27	25	40	17	32	30	17	43	38	16	24	13	5	7	13	8	16	31	28	21	18	24	17
OTU_64	2	1	3	1	1	1	0	1	1	1	8	1	1	3	1	8	16	0	1	0	0	1	1	0	0	0	0	0	0	2	15	8	16	10	14	6	2	83	10	8	2	2	8	10	2	9	6	3	6	3	4	6	2	4	2	1	3	6	0	4	3	0	6	3	1	2	3	2	3	10	2	5	2	2	3	2	0	2	1	3	2	6	4	4	9	3
OTU_65	1	0	0	0	2	0	0	4	0	5	1	0	0	1	9	4	3	0	0	0	0	0	1	0	0	1	1	6	6	0	0	0	0	0	1	1	1	4	2	0	0	0	4	10	1	6	16	2	29	1	12	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	1	5	2	20	9	10	0	0	0	1	1	6	24	8	5	23	13
OTU_67	12	17	22	31	21	26	27	5	11	3	1	61	49	3	22	1	4	93	129	67	122	104	123	35	32	61	96	76	99	71	53	52	34	21	25	16	53	3	5	7	35	67	13	6	6	5	1	10	11	20	14	35	23	34	7	9	18	13	14	1	10	10	14	29	16	23	43	37	52	8	8	5	2	0	1	38	56	63	0	12	5	6	4	4	10	22
