featureID	kingdom	phylum	class	order	family	genus	species
OTU_91	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	methylocystaceae	pleomorphomonas	pleomorphomonas sp.
OTU_92	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_94	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_95	bacteria	bacteroidetes	bacteroidia	bacteroidales	prolixibacteraceae	prolixibacter	prolixibacter spp.
OTU_98	bacteria	bacteroidetes	cytophagia	cytophagales	cytophagaceae	pontibacter	pontibacter korlensis
OTU_99	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_102	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodopseudomonas	rhodopseudomonas pangongensis
OTU_104	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodoblastus	rhodoblastus acidophilus
OTU_105	bacteria	verrucomicrobia	opitutae	opitutales	opitutaceae	opitutus	opitutus spp.
OTU_107	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodopseudomonas	rhodopseudomonas palustris
OTU_108	bacteria	verrucomicrobia	opitutae	opitutales	opitutaceae	opitutus	opitutus spp.
OTU_114	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	methylocystaceae	pleomorphomonas	pleomorphomonas spp.
OTU_115	bacteria	verrucomicrobia	opitutae	opitutales	opitutaceae	opitutus	opitutus spp.
OTU_116	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	acetobacter	acetobacter spp.
OTU_127	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	methylocystaceae	pleomorphomonas	pleomorphomonas sp.
OTU_131	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodopseudomonas	rhodopseudomonas palustris
OTU_134	bacteria	proteobacteria	betaproteobacteria	burkholderiales	comamonadaceae	acidovorax	acidovorax caeni
OTU_136	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodoblastus	rhodoblastus acidophilus
OTU_139	bacteria	proteobacteria	gammaproteobacteria	enterobacteriales	enterobacteriaceae	enterobacter	enterobacter spp.
OTU_140	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	methylocystaceae	pleomorphomonas	pleomorphomonas oryzae
OTU_142	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	bradyrhizobium	bradyrhizobium sp.
OTU_144	bacteria	spirochaetes	spirochaetia	spirochaetales	spirochaetaceae	spirochaeta	spirochaeta spp.
OTU_158	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	hyphomicrobiaceae	ancalomicrobium	ancalomicrobium spp.
OTU_164	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	afipia	afipia sp.
OTU_177	bacteria	verrucomicrobia	opitutae	opitutales	opitutaceae	opitutus	opitutus spp.
OTU_183	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodoblastus	rhodoblastus acidophilus
