"","OTU","diff.btw","diff.win","effect","wi.ep","wi.eBH","kingdom","phylum","class","order","family","genus","species"
"63","OTU_444",-2.27352004065728,4.20038288483109,-0.475383700811637,0.0133874112230056,0.0433928833669898,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"64","OTU_445",-2.27637457581168,3.89227684683125,-0.507353639375764,0.0086570502369969,0.0298300263841222,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","phaeospirillum","phaeospirillum sp."
"65","OTU_446",1.4862810345418,2.25853139615115,0.576329340429443,0.00140789011999831,0.00755167224586142,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"66","OTU_45",1.97765373167689,2.45211897476457,0.71244601186164,8.02967943676136e-05,0.00063252283187939,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"67","OTU_451",-3.8999366420996,2.15494383061123,-1.78347493874123,5.98268627381683e-12,5.68777517322191e-10,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","afipia","afipia sp."
"68","OTU_457",1.9986095599452,2.42225887701965,0.796711326870507,0.00014840110844975,0.0011911909056692,"bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","pontibacter","pontibacter spp."
"69","OTU_46",1.36333433349933,2.85104727672306,0.409045370586495,0.0123885475259727,0.0434266577125808,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","acetobacter","acetobacter spp."
"70","OTU_467",-2.43167863182407,2.94328616854387,-0.78134696519857,0.000130873020080363,0.00104791521877021,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"71","OTU_468",1.94178046068948,2.65144613922449,0.633110620228613,0.00216825688630865,0.00817237858050599,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","acetobacter","acetobacter spp."
"72","OTU_47",2.01807096996974,2.69402925638572,0.679847759088829,0.000112410001168828,0.000910662690821573,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"73","OTU_474",1.20392632536683,2.35733821156998,0.443875775088051,0.0139264412770227,0.0470237972794882,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"74","OTU_484",-0.889476354698138,0.89344259909217,-0.890521145037141,0.000443356990689983,0.00266600729539847,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"75","OTU_488",1.67456233545096,2.92371178011038,0.516777352502162,0.00842740779612069,0.0316219812157835,"bacteria","bacteroidetes","bacteroidia","bacteroidales","porphyromonadaceae","barnesiella","barnesiella viscericola"
"76","OTU_49",1.81113100033537,1.931834812137,0.852472581861804,3.58998966476931e-06,5.11455446104001e-05,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"77","OTU_491",-1.76133800225941,2.81448851069306,-0.534772186604617,0.00305477092207328,0.0125377094160249,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus sp."
"78","OTU_50",-1.95150244084397,2.04413176558646,-0.864431054750583,4.66168180494158e-06,5.42344531968715e-05,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","rhizobiaceae","rhizobium","rhizobium straminoryzae"
"79","OTU_52",-2.85795103099234,3.65272346908709,-0.725837745341866,0.000351879106520425,0.00225277852042379,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"80","OTU_521",-4.42615022480625,2.34853150925015,-1.83020058170859,1.28146980356248e-11,1.35418398247046e-09,"bacteria","firmicutes","clostridia","clostridiales","eubacteriaceae","eubacterium","eubacterium sp."
"81","OTU_530",-1.95011748336712,2.81635950320476,-0.587851485411389,0.00228827821915569,0.0104026065013164,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"82","OTU_536",-3.78243240543364,2.81143956601636,-1.25864047354712,2.78060614951711e-08,7.16646875988083e-07,"bacteria","proteobacteria","alphaproteobacteria","caulobacterales","caulobacteraceae","brevundimonas","brevundimonas sp."
"83","OTU_54",-4.21765803257225,3.45148149473052,-1.15384175572946,1.16929942749928e-07,2.46821214700955e-06,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","phaeospirillum","phaeospirillum sp."
"84","OTU_549",2.01058680479973,2.40960006638794,0.717114356044278,0.000127106057417625,0.000983250174133998,"bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","pontibacter","pontibacter spp."
"85","OTU_56",2.116285236804,2.79262878250321,0.669275921659588,0.000295238945354285,0.00168370955227612,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"86","OTU_569",-2.74192397040876,1.40102388419594,-1.93839995266341,2.22776005855706e-12,4.00529148042116e-10,"bacteria","proteobacteria","alphaproteobacteria","caulobacterales","caulobacteraceae","caulobacter","caulobacter spp."
"87","OTU_57",2.08245945822912,2.20319520806373,0.842134238386431,8.34120578676856e-06,9.03617541685679e-05,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","afipia","afipia sp."
"88","OTU_583",-2.52567294122798,3.37231772746174,-0.703789822419351,0.000466409999455984,0.00288321696889947,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"89","OTU_584",1.98268301208804,1.95411435776917,0.877679653573094,2.07236543541048e-05,0.000239316856339138,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"90","OTU_594",-3.28068995743531,2.95437927372815,-0.993671547259226,9.23428628791379e-07,1.40546707763661e-05,"bacteria","proteobacteria","alphaproteobacteria","caulobacterales","caulobacteraceae","brevundimonas","brevundimonas spp."
"91","OTU_6",-2.16371346296876,2.80406221462773,-0.829654818989924,0.000119822914190373,0.00101253126703038,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"92","OTU_60",-1.21326877115664,2.20848175219201,-0.440025865548942,0.00561679908218947,0.0228294499066137,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas sp."
"93","OTU_608",-2.22368084857875,3.13222470743,-0.689250260264613,0.000831977108958378,0.00484498081833011,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"94","OTU_611",1.121055839741,1.36665623623516,0.690491589141263,0.000162285701087349,0.00114695568579934,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"95","OTU_62",1.77654909443653,3.23953962683876,0.471464665393108,0.0100547047122477,0.0353106530441743,"bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","pontibacter","pontibacter sp."
"96","OTU_634",1.43880994159414,2.053174890296,0.629616086300347,0.000177222724457673,0.00130817331435413,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"97","OTU_636",-1.34184469843229,2.50543021377111,-0.44284032445223,0.0187136162281101,0.0497186704128722,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"98","OTU_65",2.35137308646038,3.1895953459554,0.64473953141608,0.000470203891431041,0.00268102070418842,"bacteria","fibrobacteres","fibrobacteria","fibrobacterales","fibrobacteraceae","fibrobacter","fibrobacter spp."
"99","OTU_67",-2.67913643855568,2.951412025369,-0.863372714489848,3.32309426861943e-05,0.000317121274053331,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"100","OTU_68",2.14063084534735,3.18811389673127,0.556647851667044,0.000959691326533012,0.00516199309378711,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides fragilis"
"101","OTU_69",1.96341709815668,2.77501882735491,0.604531173942414,0.00109075180456984,0.00521515701975382,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"102","OTU_77",-3.39208965207189,3.54186599771999,-0.877899957764149,1.14859495619537e-05,0.00012265724566418,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodopseudomonas","rhodopseudomonas pangongensis"
"103","OTU_78",-2.9736315268779,3.10004658973328,-0.853758843172075,1.55125219630354e-05,0.000150257281580455,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","rhodovibrio","rhodovibrio sodomensis"
"104","OTU_79",2.3546135717388,3.16745986688025,0.660925114872557,0.000471508123206916,0.0024703496736868,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"105","OTU_8",1.85866944955171,1.81310526199712,0.912865383431026,8.49707062834696e-06,0.000113832195340235,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"106","OTU_82",2.18558104787894,3.34851283055138,0.575805883889936,0.00154684220552369,0.00718050794627093,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"107","OTU_85",-2.55089024084683,3.04921613302,-0.730118194336358,0.000112871030720045,0.00074456019856778,"bacteria","bacteroidetes","bacteroidetes","bacteroidetes order ii. incertae sedis","rhodothermaceae","rhodothermus","rhodothermus spp."
"108","OTU_9",-4.13714945041281,2.21880004389367,-1.75280669815832,9.70650354884747e-12,1.13025151002562e-09,"bacteria","firmicutes","clostridia","clostridiales","eubacteriaceae","eubacterium","eubacterium sp."
"109","OTU_90",1.73613927212987,2.75028338076176,0.589861454108333,0.00307390728107198,0.012693781131628,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","acetobacter","acetobacter spp."
"110","OTU_94",1.99814947379898,3.75219373820371,0.486599845866249,0.00979003273540469,0.0330986105011725,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"111","OTU_95",-2.32069435939233,3.57661719740274,-0.599049201352801,0.00275167971262359,0.0115626873842126,"bacteria","bacteroidetes","bacteroidia","bacteroidales","prolixibacteraceae","prolixibacter","prolixibacter spp."
"112","OTU_99",-2.71000010686779,3.51562382986318,-0.716608467164439,0.000318804459724627,0.00183848444706975,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
