,C0C,1C3A,1C3B,1C5A,1C5B,1C7A,1C7B,1C10A,1C10B,1C20B,1C20A,2C3A,2C3B,2C5A,2C5B,2C10A,2C10B,1M3A,1M3B,1M3C,1M5A,1M5B,1M5C,1M7A,1M7B,1M7C,1M10A,1M10B,1M10C,2M3A,2M3B,2M3C,2M5A,2M5B,2M7A,2M7B,2M7C,2M10A,2M10B,2M10C,3M3A,3M3B,3M3C,3M5B,3M5C,3M5A,3M7A,3M7B,3M7C,3M10A,3M10B,3M10C,1G3A,1G3B,1G3C,1G5A,1G5B,1G5C,1G7A,1G7B,1G7C,1G10A,1G10B,1G10C,2G3A,2G3B,2G3C,2G5A,2G5B,2G5C,2G7A,2G7B,2G7C,2G10A,2G10B,2G10C,3G3A,3G3B,3G3C,3G5A,3G5B,3G5C,3G7A,3G7B,3G7C,3G10A,3G10B
ochrobactrum anthropi,1,4,5,24,20,51,69,14,8,3,6,88,79,8,58,11,10,16,11,5,11,13,12,6,4,8,18,12,10,6,7,16,12,13,23,81,0,1,49,3,21,39,20,123,75,51,49,23,79,17,0,11,8,6,9,9,11,12,10,11,10,5,4,7,9,10,29,82,76,71,62,79,84,11,12,16,19,25,30,3,28,19,22,15,28,4,3
nitrospirillum azospirillum amazonense,1,0,2,70,53,97,156,23,27,1,1,183,106,16,70,0,4,2,1,3,0,1,1,1,1,2,4,1,2,4,3,0,0,0,8,63,0,1,42,0,2,17,8,37,28,12,20,3,37,11,1,4,1,4,3,2,1,1,0,0,0,0,0,1,0,3,14,101,105,68,30,43,32,3,1,0,13,16,18,1,8,12,7,4,12,1,4
acinetobacter junii,1,0,4,0,1,0,0,0,0,0,0,2,6,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,4,6,0,0,0,2,0,0,22,0,10,0,0,0,0,0,1,0,0,1,12,6,11,1,3,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16,4
propionibacterium acnes,1,3,1,1,1,0,1,1,0,0,2,6,13,1,1,3,1,4,4,2,4,0,2,1,0,1,1,0,2,16,42,4,7,6,1,1,828,15,0,0,0,4,0,2,2,1,0,1,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,7,1,2,1,2,0,2,0,1,1,0,0,4,0,3,2,2,0,1,0,2
brevundimonas sp.,1,1,0,24,16,24,31,8,5,0,0,26,10,6,40,1,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,4,42,0,0,18,0,3,8,1,26,14,1,5,1,24,5,0,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,4,26,44,23,17,31,36,2,0,2,4,3,7,1,4,4,5,0,4,0,1
rhizobium petrolearium,1,0,1,0,1,3,0,2,1,0,2,6,3,3,11,3,2,1,0,0,0,1,1,0,0,1,1,2,0,2,3,4,3,3,3,13,0,1,3,1,2,5,1,17,3,9,6,6,12,7,2,0,2,1,4,3,3,7,2,1,2,1,2,4,3,0,4,2,3,14,13,27,21,8,4,2,0,3,0,1,8,8,8,11,4,1,0
escherichia vulneris,1,0,2,5,10,10,8,4,4,0,0,9,13,2,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,21,0,0,6,0,1,4,3,32,16,11,10,0,32,4,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,12,14,6,5,7,6,0,0,0,2,4,3,0,5,6,5,7,2,0,0
brevundimonas spp.,1,0,0,8,2,7,14,1,3,0,0,10,7,1,15,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,8,0,0,3,3,10,7,1,2,2,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,6,11,5,9,10,1,1,0,2,1,7,1,6,3,0,0,5,0,0
parabacteroides distasonis,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,0,0,0,0,2,2,3,0,1,5,1
nitrobacter hamburgensis,1,0,0,2,4,3,1,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
vitis vinifera,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methylocystis heyerii,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0
micrococcus luteus,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
delftia sp.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methylobacillus sp.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
