	Name	kingdom	taxonomy	phylum	class	order	family	genus	species
OTU_55	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium	Bacteria	Root;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	g_Sphingobacterium
OTU_56	Bacteria;Bacteroidetes;empty_class;empty_order;empty_family;Prolixibacter	Bacteria	Root;Bacteria;Bacteroidetes;Unassigned;Unassigned;Unassigned;Prolixibacter;	Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	Prolixibacter	g_Prolixibacter
OTU_57	Bacteria;Bacteroidetes;empty_class;empty_order;empty_family;Prolixibacter;bellariivorans	Bacteria	Root;Bacteria;Bacteroidetes;Unassigned;Unassigned;Unassigned;Prolixibacter;bellariivorans;	Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	Prolixibacter	bellariivorans
OTU_58	Bacteria;Chlorobi;Chlorobia;Chlorobiales	Bacteria	Root;Bacteria;Chlorobi;Chlorobia;Chlorobiales;	Chlorobi	Chlorobia	Chlorobiales	o_Chlorobiales	o_Chlorobiales	o_Chlorobiales
OTU_59	Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum	Bacteria	Root;Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum;	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	g_Chlorobaculum
OTU_60	Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum;parvum	Bacteria	Root;Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum;parvum;	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	parvum
OTU_61	Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium	Bacteria	Root;Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium;	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	g_Chlorobium
OTU_62	Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton;thalassium	Bacteria	Root;Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton;thalassium;	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton	thalassium
OTU_63	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae	Bacteria	Root;Bacteria;Chloroflexi;Unassigned;Unassigned;Unassigned;	Chloroflexi	p_Chloroflexi	p_Chloroflexi	p_Chloroflexi	p_Chloroflexi	p_Chloroflexi
OTU_64	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Ornatilinea	Bacteria	Root;Bacteria;Chloroflexi;Unassigned;Unassigned;Unassigned;Unassigned;	Chloroflexi	p_Chloroflexi	p_Chloroflexi	p_Chloroflexi	p_Chloroflexi	p_Chloroflexi
