	taxonomy
OTU_205	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Delftia;Unassigned;
OTU_206	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Diaphorobacter;
OTU_207	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Hydrogenophaga;
OTU_208	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Ideonella;
OTU_209	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Kinneretia;
OTU_210	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Leptothrix;
OTU_211	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Leptothrix;FC_170;
OTU_212	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Leptothrix;HME6321;
OTU_213	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Limnohabitans;
OTU_214	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Mitsuaria;
OTU_215	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Ottowia;
OTU_216	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;
OTU_217	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Rhodoferax;
OTU_218	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Rubrivivax;
OTU_219	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Rubrivivax;gelatinosus;
OTU_220	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Sphaerotilus;
OTU_221	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Variovorax;
OTU_222	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Variovorax;Unassigned;
OTU_223	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;Unassigned;
OTU_224	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
OTU_225	Root;Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;
OTU_226	Root;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylobacillus;
OTU_227	Root;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylotenera;
OTU_228	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;
OTU_229	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;
OTU_230	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Unassigned;
OTU_231	Root;Bacteria;Proteobacteria;Betaproteobacteria;Unassigned;Unassigned;
OTU_232	Root;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;
OTU_233	Root;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;
OTU_234	Root;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;Unassigned;
