	kingdom	phylum	class	order	family	genus	species
OTU_167	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola	g_Tabrizicola
OTU_168	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	o_Rhodospirillales	o_Rhodospirillales	o_Rhodospirillales
OTU_169	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	f_Acetobacteraceae	16-34
OTU_170	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	f_Rhodospirillaceae	f_Rhodospirillaceae
OTU_171	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	g_Azospirillum
OTU_172	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	amazonense
OTU_173	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	cf03
OTU_174	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	lipoferum
OTU_175	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	g_Magnetospirillum
OTU_176	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Phaeospirillum	g_Phaeospirillum
OTU_177	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Phaeospirillum	AK32
OTU_178	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Phaeospirillum	cystidoformans
OTU_179	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	sulfurexigens
OTU_180	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Roseospira	g_Roseospira
OTU_181	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	g_Skermanella
OTU_182	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	xinjiangensis
OTU_183	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira	g_Thalassospira
OTU_184	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	o_Rickettsiales	o_Rickettsiales	o_Rickettsiales
OTU_185	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	Erythrobacteraceae	Altererythrobacter	g_Altererythrobacter
OTU_186	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	Erythrobacteraceae	Porphyrobacter	g_Porphyrobacter
OTU_187	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	Erythrobacteraceae	Porphyrobacter	g_Porphyrobacter
OTU_188	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria	Novosphingobium	g_Novosphingobium
OTU_189	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria	Sandarakinorhabdus	g_Sandarakinorhabdus
OTU_190	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria	Sphingobium	g_Sphingobium
OTU_191	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria	Sphingobium	g_Sphingobium
OTU_192	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Achromobacter	g_Achromobacter
OTU_193	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Castellaniella	g_Castellaniella
OTU_194	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	o_Burkholderiales	o_Burkholderiales
OTU_195	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Acidovorax	g_Acidovorax
OTU_196	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Acidovorax	g_Acidovorax
OTU_197	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Albidiferax	g_Albidiferax
OTU_198	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Aquabacterium	g_Aquabacterium
OTU_199	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Aquincola	g_Aquincola
OTU_200	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Aquincola	tertiaricarbonis
OTU_201	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Chlorochromatium	g_Chlorochromatium
OTU_202	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	o_Burkholderiales	o_Burkholderiales
OTU_203	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	o_Burkholderiales	o_Burkholderiales
OTU_204	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Curvibacter	g_Curvibacter
OTU_205	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Delftia	g_Delftia
